track,frame_idx,instance.score,Base_AT.x,Base_AT.y,Base_AT.score,Leaf_1E.x,Leaf_1E.y,Leaf_1E.score,Leaf_2I.x,Leaf_2I.y,Leaf_2I.score,Leaf_3I.x,Leaf_3I.y,Leaf_3I.score,Leaf_4E.x,Leaf_4E.y,Leaf_4E.score
1,23,,931.0553249172617,1413.749981128225,,782.0060188470152,1366.0722789917854,,895.0675466913362,1256.9059080839606,,1041.29234629862,1293.7261934637736,,1252.96270301992,1304.0249356973718,
2,23,,1514.0415231606748,1457.112590914925,,1234.9043877303275,1462.4336340733416,,1319.0575090501834,1223.179433805416,,1518.2810539523198,1327.4526677423173,,1705.861071903233,1453.3850360737842,
3,23,,2540.289954779246,1428.204184390458,,2294.8792936274403,1419.0710242866407,,2383.8504827013767,1271.3601113461946,,2539.7114178168104,1269.6358546933834,,2698.3830292432594,1410.0224262870852,
4,23,,3113.6400175145027,1413.7499811282241,,2901.955830641242,1419.0710242866407,,2942.7463421744014,1280.99624685435,,3132.333751568378,1284.0900579556173,,3334.367972781527,1381.1140197626182,
1,104,,931.0553249172617,1413.749981128225,,767.5518155847813,1361.2542112377078,,895.0675466913362,1256.9059080839606,,1041.29234629862,1293.7261934637736,,1093.966467135352,1414.840494041161,
2,104,,1514.0415231606748,1457.112590914925,,1297.539268533339,1414.252956532563,,1319.0575090501834,1223.179433805416,,1479.7365119196984,1312.9984644800843,,1614.3177845757555,1405.2043585330066,
3,104,,2540.289954779246,1428.204184390458,,2241.880548332585,1366.0722789917845,,2383.8504827013767,1271.3601113461946,,2539.7114178168104,1269.6358546933834,,2741.7456390299594,1347.3875454840745,
4,104,,3113.6400175145027,1413.7499811282241,,2853.7751531004633,1317.8916014510078,,2937.928274420323,1280.99624685435,,3166.0602258469244,1312.9984644800843,,3334.367972781527,1381.1140197626182,
1,184,,931.0553249172617,1413.749981128225,,767.5518155847813,1361.2542112377078,,895.0675466913362,1256.9059080839606,,1041.29234629862,1293.7261934637736,,1127.6929414138967,1381.1140197626164,
2,184,,1514.0415231606748,1457.112590914925,,1186.7237101895498,1356.43614348363,,1319.0575090501834,1223.179433805416,,1503.8268506900877,1288.908125709695,,1614.3177845757546,1390.7501552707736,
3,184,,2540.289954779246,1428.204184390458,,2217.7902095621957,1346.800007975473,,2383.8504827013767,1271.3601113461946,,2539.7114178168104,1269.6358546933834,,2727.2914357677255,1323.2972067136852,
