"ind_1_angle_1E.4E","ind_1_angle_2I.3I","ind_1_angle_E.Y","ind_1_angle_I.Y","ind_2_angle_1E.4E","ind_2_angle_2I.3I","ind_2_angle_E.Y","ind_2_angle_I.Y","ind_3_angle_1E.4E","ind_3_angle_2I.3I","ind_3_angle_E.Y","ind_3_angle_I.Y","ind_4_angle_1E.4E","ind_4_angle_2I.3I","ind_4_angle_E.Y","ind_4_angle_I.Y","time","mean_1E.4E","mean_2I.3I","mean_E.Y","mean_I.Y"
167.112216084744,64.8440562565407,83.260713398544,90.2819720860307,157.957262156673,88.05665125393,86.4546353872874,87.9346235313779,171.744406421645,85.7149461509059,84.8848739783639,80.1082329959838,162.140854112526,74.8718065192788,89.5572857344646,83.8978636814691,2023-12-08 16:00:00,164.738684693897,78.3718650451639,86.039377124665,85.5556730737154
171.800108521232,65.3774683868487,84.2631228285441,91.3307688977998,162.99094379953,92.4204333582112,88.6473790869421,84.9182750647158,171.416587644604,79.6690789745641,84.6241501018374,77.9521799833813,162.140854112526,74.8718065192788,89.5572857344646,83.8978636814691,2023-12-08 17:00:00,167.087123519473,78.0846968097257,86.7729844379471,84.5247719068415
169.893886250425,65.3774683868487,83.1094615538551,91.3307688977998,162.99094379953,92.4204333582112,88.6473790869421,84.9182750647158,171.416587644604,69.6487534571797,84.6241501018374,82.2300042457482,162.140854112526,74.8718065192788,89.5572857344646,83.8978636814691,2023-12-08 18:00:00,166.610567951771,75.5796154303796,86.4845691192748,85.5942279724332
167.923840779599,65.3774683868487,82.8437448960054,91.3307688977998,162.628946117864,91.0118119881776,88.6230020610256,84.7994651678276,171.789336793617,64.911110316791,83.9501028506343,85.7662534641969,161.338322503394,79.8832585996578,89.1145638360524,83.5108427887261,2023-12-08 19:00:00,165.920111548619,75.2959123228688,86.1328534109294,86.3518325796376
166.975774482365,61.611724231701,83.3096724732102,90.2766599672479,163.218592374661,88.7550066001099,88.6631566198552,84.6104870051869,171.789336793617,58.3944414440793,83.9501028506343,87.3410794176971,161.338322503394,79.8832585996578,89.1145638360524,83.5108427887261,2023-12-08 20:00:00,165.830506538509,72.161107718887,86.259373944938,86.4347672947145
166.975774482365,61.611724231701,83.3096724732102,90.2766599672479,164.713108048919,82.1690346451598,89.3392198947406,87.934623531378,171.789336793617,58.3944414440793,83.9501028506343,87.3410794176971,161.338322503394,79.8832585996578,89.1145638360524,83.5108427887261,2023-12-08 21:00:00,166.204135457074,70.5146147301495,86.4283897636594,87.2658014262623
166.975774482365,61.611724231701,83.3096724732102,90.2766599672479,164.713108048919,80.9198429096133,89.3392198947406,86.4321505172729,171.789336793617,58.3944414440793,83.9501028506343,87.3410794176971,161.338322503394,79.053669672172,89.1145638360524,83.414948786069,2023-12-08 22:00:00,166.204135457074,69.9949195643914,86.4283897636594,86.8662096720717
166.975774482365,61.611724231701,83.3096724732102,90.2766599672479,164.894006452222,79.4194566406088,89.3467538291906,84.1882511705914,174.396611260511,59.6511759013799,82.8925767071036,92.0815040482799,161.338322503394,73.8947325391032,89.1145638360524,80.3342279340241,2023-12-08 23:00:00,166.901178674623,68.6442723281982,86.1658917113892,86.7201607800358
166.975774482365,76.9916114158444,83.3096724732102,89.3350722352762,171.888472948675,77.9052019937323,92.3251755637652,80.2391754571136,174.396611260511,59.7190157856912,82.8925767071036,94.0522853832184,165.382486305711,71.5911450470416,91.328173293755,79.1167109865879,2023-12-09,169.660836249316,71.5517435605774,87.4638995094585,85.685811015549
166.975774482365,75.7419351879359,83.3096724732102,89.3245321932384,171.888472948675,75.8983354446375,92.3251755637652,79.204843937316,169.278330984174,66.4999942223852,85.1618487781178,90.2256477116419,163.370573615555,69.7408369316334,90.0000586901971,77.1149337275062,2023-12-09 01:00:00,167.878288007692,71.970275446648,87.6991888763226,83.9674893924256
166.975774482365,75.7419351879359,83.3096724732102,89.3245321932384,171.888472948675,73.2430524103052,92.3251755637652,74.681648300784,169.239630776098,65.2942124634628,85.1029161938238,90.2328019602015,163.370573615555,69.7408369316334,90.0000586901971,77.1149337275062,2023-12-09 02:00:00,167.868612955673,71.0050092483343,87.6844557302491,82.8384790454325
166.975774482365,69.0808605626893,83.3096724732102,92.1870996202655,171.888472948675,72.2200344097792,92.3251755637652,76.375347943868,168.806982942366,67.7140639711209,84.8189737810327,91.0891687872291,163.370573615555,72.9348797978267,90.0000586901971,75.1344579158985,2023-12-09 03:00:00,167.76045099724,70.487459685354,87.6134701270513,83.6965185668153
166.975774482365,66.4747983616988,83.3096724732102,92.263653931073,169.219693276023,71.8047557955565,90.9969765371482,75.5945956644618,168.806982942366,67.7140639711209,84.8189737810327,91.0891687872291,163.370573615555,71.0722515610815,90.0000586901971,74.6702646345038,2023-12-09 04:00:00,167.093256079077,69.2664674223644,87.281420370397,83.4044207543169
166.975774482365,66.4747983616988,83.3096724732102,92.263653931073,168.61367059016,68.7395307278925,90.6608703961263,72.0401393563377,168.806982942366,67.7140639711209,84.8189737810327,91.0891687872291,163.370573615555,71.0722515610815,90.0000586901971,74.6702646345038,2023-12-09 05:00:00,166.941750407611,68.5001611554484,87.1973938351416,82.5158066772859
165.443962703493,66.4747983616988,84.537524280611,92.263653931073,168.61367059016,65.6050696635232,90.6608703961263,70.9809336854366,168.806982942366,67.7140639711209,84.8189737810327,91.0891687872291,163.370573615555,71.0722515610815,90.0000586901971,74.6702646345038,2023-12-09 06:00:00,166.558797462893,67.7165458893561,87.5043567869918,82.2510052595606
