track,frame_idx,instance.score,Base_HA.x,Base_HA.y,Base_HA.score,IN1.x,IN1.y,IN1.score,IN2.x,IN2.y,IN2.score,L1_D.x,L1_D.y,L1_D.score,L1_G.x,L1_G.y,L1_G.score,L2_D.x,L2_D.y,L2_D.score,L2_G.x,L2_G.y,L2_G.score
1,24,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,290.06268121417065,227.19349660922154,,406.88960116950966,300.0758725341427,,152.61381778222574,275.8240710444093,,358.00751023442444,232.66588874364248,,233.96236252531958,218.90685958561778,
2,24,,719.0848464716582,296.5633312438391,,732.0621638464299,245.1529799807014,,731.9054891836629,226.67872420187183,,841.9058433391596,263.5436043849619,,606.5018702574948,273.15161215371495,,811.5877274587752,196.29153008744015,,670.1538803836377,208.84583554989874,
3,24,,1021.0337746331036,289.23955848628,,1002.422262383814,231.98857040282485,,991.1934259919367,213.87822433010987,,1095.4040817497537,238.46589373424774,,860.9861251394041,276.5686225556521,,933.0665254086822,204.41217870905643,,1039.6188513684256,178.6171315042953,
1,104,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,240.78985472758268,,406.88960116950966,298.1335356600912,,153.58498621925153,275.8240710444094,,358.00751023442444,232.66588874364248,,233.96236252531958,218.90685958561778,
2,104,,719.0848464716582,296.5633312438391,,732.0621638464299,245.1529799807014,,731.9054891836629,226.67872420187183,,841.9058433391596,263.5436043849619,,600.67485963534,265.3822646575086,,811.5877274587752,196.29153008744015,,670.1538803836377,205.93233023882138,
3,104,,1021.0337746331036,289.23955848628,,1002.422262383814,231.98857040282485,,991.1934259919367,213.87822433010987,,1093.461744875702,208.35967218644802,,854.1879460802235,259.0875906891878,,933.0665254086822,204.41217870905643,,1042.5323566795025,173.7612893191663,
1,184,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,240.78985472758268,,408.8319380435613,291.3353566009106,,153.58498621925153,275.8240710444094,,358.00751023442444,232.66588874364248,,233.96236252531958,218.90685958561778,
2,184,,719.0848464716582,296.5633312438391,,732.0621638464299,245.1529799807014,,731.9054891836629,226.67872420187183,,842.8770117761856,277.139962503323,,601.6460280723657,260.52642247237964,,814.5012327698527,204.06087758364657,,670.1538803836376,199.1341511796408,
3,184,,1021.0337746331036,289.23955848628,,1002.422262383814,231.98857040282485,,996.0492681770659,211.93588745605828,,1096.3752501867793,200.5903246902417,,849.3321038950945,250.34707475595562,,932.0953569716565,191.7869890277211,,1042.5323566795025,173.7612893191663,
1,265,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,240.78985472758268,,408.83193804356137,287.4506828528074,,155.52732309330312,276.7952394814352,,358.00751023442444,225.86770968446194,,232.99119408829375,215.9933542745404,
2,265,,710.3443305384261,296.5633312438392,,727.206321661301,245.15297998070142,,731.9054891836629,226.67872420187183,,844.819348650237,277.13996250332303,,601.6460280723657,253.7282434131991,,818.3859065179558,208.91671976877552,,677.9232278798438,198.162982742615,
3,265,,1019.0914377590519,289.2395584862799,,1002.422262383814,231.98857040282485,,996.0492681770659,211.93588745605828,,1096.3752501867793,200.5903246902417,,849.3321038950945,250.34707475595562,,932.0953569716565,191.7869890277211,,1042.5323566795025,173.7612893191663,
1,346,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,240.78985472758268,,408.83193804356137,282.5948406676784,,157.46965996735472,274.8529026073836,,358.00751023442444,225.86770968446194,,232.99119408829375,215.9933542745404,
2,346,,710.3443305384261,296.5633312438392,,727.206321661301,245.15297998070142,,731.9054891836629,226.67872420187183,,844.819348650237,277.13996250332303,,601.6460280723657,253.7282434131991,,818.3859065179558,208.91671976877552,,677.9232278798437,196.22064586856337,
3,346,,1019.0914377590519,289.2395584862799,,1002.422262383814,231.98857040282485,,996.0492681770659,211.93588745605828,,1096.3752501867793,200.5903246902417,,849.3321038950945,250.34707475595562,,932.0953569716565,191.7869890277211,,1042.5323566795025,173.7612893191663,
1,426,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,249.53037066081487,,408.8319380435614,281.6236722306526,,157.46965996735472,274.8529026073836,,358.00751023442444,225.86770968446194,,232.99119408829375,215.9933542745404,
2,426,,710.3443305384261,296.5633312438392,,727.206321661301,245.15297998070142,,731.9054891836629,226.67872420187183,,844.819348650237,273.2552887552198,,601.6460280723657,253.7282434131991,,817.4147380809302,204.06087758364657,,677.9232278798437,196.22064586856337,
3,426,,1022.0049430701292,286.32605317520256,,1002.422262383814,231.98857040282485,,996.0492681770659,211.93588745605828,,1096.3752501867793,196.7056509421385,,849.3321038950945,250.34707475595562,,932.0953569716565,191.7869890277211,,1046.4170304276056,173.7612893191663,
1,507,,278.3291507740323,345.7037733783718,,289.4823725066916,268.64369516074015,,292.97618652524807,249.53037066081487,,407.8607696065357,276.7678300455235,,157.46965996735472,274.8529026073836,,358.00751023442444,225.86770968446194,,232.99119408829375,215.9933542745404,
2,507,,710.3443305384261,296.5633312438392,,727.206321661301,245.15297998070142,,731.9054891836629,226.67872420187183,,846.7616855242886,267.4282781330651,,603.5883649464171,257.6129171613023,,813.5300643328271,201.14737227256919,,677.9232278798437,196.22064586856337,
3,507,,1022.0049430701292,286.32605317520256,,1002.422262383814,231.98857040282485,,996.0492681770659,211.93588745605828,,1096.3752501867793,196.7056509421385,,849.3321038950945,250.34707475595562,,932.0953569716565,191.7869890277211,,1046.4170304276056,173.7612893191663,
